,tsne1,tsne2,tsne3,class_encode,class,cluster
90,19.778753,-6.4271655,-1.8631383,3,Home Decor & Festive Needs,6
91,11.012633,-0.14231148,-5.475991,3,Home Decor & Festive Needs,6
92,17.230566,-11.028884,-2.843082,3,Home Decor & Festive Needs,3
93,19.113964,-1.7120817,0.70855725,3,Home Decor & Festive Needs,6
94,10.850007,3.0660276,5.631798,3,Home Decor & Festive Needs,6
95,21.308586,-7.907586,-2.8014936,3,Home Decor & Festive Needs,6
96,14.717783,-2.733128,-14.677165,3,Home Decor & Festive Needs,2
97,8.679299,-3.9467874,-8.4160795,3,Home Decor & Festive Needs,3
98,23.47328,-14.402013,10.078711,1,Beauty and Personal Care,6
99,12.125004,-12.5657425,-14.470673,1,Beauty and Personal Care,3
100,22.936302,23.336184,5.3325777,1,Beauty and Personal Care,6
101,5.4236,5.7408876,-1.0893418,3,Home Decor & Festive Needs,0
102,-22.221155,4.885237,-25.273802,3,Home Decor & Festive Needs,4
103,30.845253,14.510144,4.8033233,4,Home Furnishing,6
104,30.52681,16.6505,3.1533368,4,Home Furnishing,6
105,23.879913,10.344804,7.4748907,4,Home Furnishing,6
106,-3.2215998,-14.066016,5.2517195,0,Baby Care,3
107,2.601685,22.099737,-2.4210072,4,Home Furnishing,0
108,27.023687,16.126055,4.849442,4,Home Furnishing,6
109,17.503891,13.182959,13.519357,4,Home Furnishing,6
110,-1.6036029,-5.0521955,-25.169456,0,Baby Care,2
111,-20.177387,1.215895,-19.789938,3,Home Decor & Festive Needs,4
112,10.981262,-2.902821,-38.610386,0,Baby Care,2
113,-14.781561,-4.1386056,-13.478534,5,Kitchen & Dining,4
114,0.9574938,-10.563325,-15.193728,0,Baby Care,3
115,-25.651907,6.6074734,-2.5940342,2,Computers,4
116,15.285086,2.522487,3.2094898,3,Home Decor & Festive Needs,6
117,-0.5752317,-3.3031602,-19.540836,0,Baby Care,2
118,25.694654,-4.309666,2.900349,3,Home Decor & Festive Needs,6
119,-12.183993,5.6049566,-10.266797,2,Computers,4
120,-9.841125,16.334425,-11.170755,4,Home Furnishing,0
121,-0.0705917,5.96438,-38.136063,0,Baby Care,2
122,-18.795685,0.6123184,-5.3746624,2,Computers,4
123,-19.621468,7.840592,-19.91452,3,Home Decor & Festive Needs,4
124,-19.192514,7.2850614,-4.44406,1,Beauty and Personal Care,4
125,-9.66297,9.298192,0.8212539,1,Beauty and Personal Care,0
126,-11.3243,8.377659,3.2931633,1,Beauty and Personal Care,0
127,-8.086232,7.6054325,5.0095077,1,Beauty and Personal Care,0
128,10.953675,-16.928051,-7.226191,3,Home Decor & Festive Needs,3
129,5.2147937,23.767246,-17.983458,5,Kitchen & Dining,2
130,-1.0752175,-33.701405,0.98676133,5,Kitchen & Dining,3
131,8.096542,27.515453,-20.149527,5,Kitchen & Dining,2
132,1.2303882,-16.46823,6.740661,5,Kitchen & Dining,3
133,1.8708568,-27.32072,5.469348,5,Kitchen & Dining,3
134,12.586623,17.482763,-17.941216,5,Kitchen & Dining,2
135,8.625621,22.838696,-19.480352,5,Kitchen & Dining,2
136,2.1539254,-29.613966,8.162594,5,Kitchen & Dining,3
137,10.695871,-15.032309,10.011876,5,Kitchen & Dining,3
138,0.3868426,-33.90258,4.8457856,5,Kitchen & Dining,3
139,13.583359,-17.204556,10.99417,5,Kitchen & Dining,3
140,6.2638483,-30.206879,9.1135435,5,Kitchen & Dining,3
141,-5.9425416,-31.31624,6.3595467,5,Kitchen & Dining,3
142,-2.3577094,-30.400925,3.6912417,5,Kitchen & Dining,3
143,11.279763,20.326212,-20.044481,5,Kitchen & Dining,2
144,-3.0929391,-25.321426,7.261956,5,Kitchen & Dining,3
145,6.556984,-13.48209,10.003638,5,Kitchen & Dining,3
146,13.966677,-25.163134,3.0102186,5,Kitchen & Dining,3
147,2.7242215,-25.224155,8.402331,5,Kitchen & Dining,3
148,0.71529514,-29.771208,4.441285,5,Kitchen & Dining,3
149,13.728217,16.304537,-14.04023,5,Kitchen & Dining,2
150,11.477779,-19.006428,3.5840163,5,Kitchen & Dining,3
151,2.0521886,23.633846,-13.529966,5,Kitchen & Dining,0
152,4.4291058,-16.475527,9.530182,5,Kitchen & Dining,3
153,5.618092,-28.835482,5.1064973,5,Kitchen & Dining,3
154,-2.8279164,-29.224434,6.6099424,5,Kitchen & Dining,3
155,11.102793,-22.040455,6.5679626,5,Kitchen & Dining,3
156,18.435013,-24.245535,1.1478351,5,Kitchen & Dining,3
157,7.565718,23.666954,-22.042927,5,Kitchen & Dining,2
158,12.441115,21.183779,-21.875477,5,Kitchen & Dining,2
159,8.861342,24.68355,-15.067823,5,Kitchen & Dining,2
160,4.3556995,-32.653465,4.8764133,5,Kitchen & Dining,3
161,12.437735,-13.81775,9.999013,5,Kitchen & Dining,3
162,9.982958,25.85937,-18.97184,5,Kitchen & Dining,2
163,17.13023,-25.986855,-1.2293429,5,Kitchen & Dining,3
164,-1.388377,-27.891424,5.024403,5,Kitchen & Dining,3
165,1.2208863,-25.210604,2.699774,5,Kitchen & Dining,3
166,13.293373,19.477684,-15.02602,5,Kitchen & Dining,2
167,14.726703,-16.633438,4.368924,5,Kitchen & Dining,3
168,13.438462,-27.051662,5.8571944,5,Kitchen & Dining,3
169,10.162549,28.241058,-17.458742,5,Kitchen & Dining,2
170,11.846223,25.543112,-13.419143,5,Kitchen & Dining,2
171,9.992469,18.824255,-12.453284,5,Kitchen & Dining,2
172,-1.7355678,-28.332092,-0.32142493,5,Kitchen & Dining,3
173,-2.0662234,-27.396503,10.631067,5,Kitchen & Dining,3
174,1.6622642,-14.4346895,9.154086,5,Kitchen & Dining,3
175,-0.4742248,-18.253,13.179302,5,Kitchen & Dining,3
176,14.310951,-20.939333,5.1550636,5,Kitchen & Dining,3
177,12.902687,-22.315422,3.2845063,5,Kitchen & Dining,3
178,0.2794529,-19.836405,14.3984165,5,Kitchen & Dining,3
179,2.2030783,-34.479057,8.990086,5,Kitchen & Dining,3
180,16.028336,-19.828419,2.2652707,5,Kitchen & Dining,3
181,16.546038,-23.943716,6.3389473,5,Kitchen & Dining,3
182,25.529007,0.47477746,14.775788,5,Kitchen & Dining,6
183,-3.397342,-26.817862,2.9683497,5,Kitchen & Dining,3
184,21.902063,5.4476256,10.706615,5,Kitchen & Dining,6
185,16.220018,-27.111229,-2.865873,5,Kitchen & Dining,3
186,-0.36142197,-31.411404,8.229487,5,Kitchen & Dining,3
187,5.1958337,27.069763,-17.556986,5,Kitchen & Dining,2
188,11.270927,-21.078554,-2.3088522,5,Kitchen & Dining,3
189,2.2846453,-29.670588,1.3753401,5,Kitchen & Dining,3
190,0.79059905,-20.622147,5.7052083,5,Kitchen & Dining,3
191,9.023114,-8.8041115,8.840846,5,Kitchen & Dining,3
192,-9.253248,-19.75854,-2.8785443,5,Kitchen & Dining,3
193,19.545465,6.339937,-13.949331,3,Home Decor & Festive Needs,6
194,10.944378,-7.938339,-0.8719873,3,Home Decor & Festive Needs,3
195,15.708721,-3.4070234,-7.4120674,3,Home Decor & Festive Needs,6
196,26.734665,-0.31747282,-3.5897624,3,Home Decor & Festive Needs,6
197,-7.114804,-13.929542,-5.080462,5,Kitchen & Dining,3
198,9.5006075,2.8456442,-1.9427599,3,Home Decor & Festive Needs,6
199,-7.9102435,-16.301823,-0.6133777,5,Kitchen & Dining,3
200,25.655998,-11.528267,1.2995139,3,Home Decor & Festive Needs,6
201,22.64002,-11.913196,8.062624,3,Home Decor & Festive Needs,6
202,13.132772,5.1507382,-23.95201,0,Baby Care,2
203,8.87797,-4.4479833,8.65292,3,Home Decor & Festive Needs,5
