,tsne1,tsne2,tsne3,class_encode,class,cluster
902,5.271401,-11.635979,-3.8439953,5,Kitchen & Dining,1
903,-1.6637163,-7.420662,-2.8479893,3,Home Decor & Festive Needs,1
904,6.288138,-2.9644177,0.5111964,0,Baby Care,1
905,-1.333169,-11.32972,-2.9697044,3,Home Decor & Festive Needs,1
906,-1.6583333,-11.321875,-3.1506524,3,Home Decor & Festive Needs,1
907,19.454777,0.5419287,2.2598598,0,Baby Care,4
908,18.245789,-0.6093456,1.8376608,0,Baby Care,4
909,3.8692167,-2.6881938,-3.0165827,0,Baby Care,1
910,18.782528,-1.4515102,1.5012665,0,Baby Care,4
911,-1.5760353,-11.389962,-3.1381657,3,Home Decor & Festive Needs,1
912,-2.0502565,-10.381088,-2.9429233,3,Home Decor & Festive Needs,1
913,1.871492,-4.0524364,-2.6853414,6,Watches,1
914,18.828678,-0.99863625,1.2941293,0,Baby Care,4
915,19.32267,0.7728905,2.3350945,0,Baby Care,4
916,2.0295122,-8.404003,2.9736636,3,Home Decor & Festive Needs,1
917,-6.4165893,-3.988799,-2.0756738,3,Home Decor & Festive Needs,5
918,0.29242575,13.171553,1.4008732,4,Home Furnishing,3
919,-15.407054,-1.6560663,-0.9680269,3,Home Decor & Festive Needs,5
920,0.8319427,10.353266,1.1066571,4,Home Furnishing,3
921,-7.1462255,-4.3736463,-3.598595,3,Home Decor & Festive Needs,5
922,-14.829737,-0.8385377,-1.8553673,3,Home Decor & Festive Needs,5
923,-6.917839,-3.7758384,-3.4357126,3,Home Decor & Festive Needs,5
924,-0.37274614,5.970221,-6.9358,1,Beauty and Personal Care,0
925,-7.124853,-5.534043,-2.589871,3,Home Decor & Festive Needs,5
926,1.2506751,12.959172,2.0001612,4,Home Furnishing,3
927,-0.49039698,14.666673,4.229033,4,Home Furnishing,3
928,1.2539754,11.500779,0.91283196,4,Home Furnishing,3
929,-13.398145,-1.6493839,-7.800516,3,Home Decor & Festive Needs,5
930,-15.712122,1.5927753,-1.8513957,3,Home Decor & Festive Needs,5
931,0.31740662,14.992658,6.037808,4,Home Furnishing,3
932,0.55351865,12.6423,0.46669105,4,Home Furnishing,3
933,-13.083634,1.8163023,-0.91094065,3,Home Decor & Festive Needs,5
934,-1.6905724,14.08532,5.350189,4,Home Furnishing,3
935,0.03977915,5.5156097,-6.982193,1,Beauty and Personal Care,0
936,-8.196498,-3.7607586,-3.0359015,3,Home Decor & Festive Needs,5
937,-7.9641066,-5.0922213,-2.1122377,3,Home Decor & Festive Needs,5
938,-11.934982,2.1118674,-7.611992,3,Home Decor & Festive Needs,5
939,0.31101492,12.040261,0.9346424,4,Home Furnishing,3
940,-6.584423,-5.148405,-2.822413,3,Home Decor & Festive Needs,5
941,-1.6430212,12.454483,-0.61521715,4,Home Furnishing,3
942,-1.3281792,13.708489,1.9900072,4,Home Furnishing,3
943,-10.713571,-0.5476541,-2.0148592,3,Home Decor & Festive Needs,5
944,-7.347902,-3.6302264,-3.391435,3,Home Decor & Festive Needs,5
945,-0.007812843,11.758458,2.5354426,4,Home Furnishing,3
946,0.07849663,5.2954993,-6.918951,1,Beauty and Personal Care,0
947,-15.48732,-1.861346,-0.5292435,3,Home Decor & Festive Needs,5
948,-9.859791,-1.1996104,-1.6053929,3,Home Decor & Festive Needs,5
949,0.053670395,11.750263,0.34881896,4,Home Furnishing,3
950,-1.2816197,15.237488,3.706112,4,Home Furnishing,3
951,-9.799754,-0.42379966,-4.2645802,3,Home Decor & Festive Needs,5
952,-0.9043232,11.650472,3.4064476,4,Home Furnishing,3
953,-4.0650225,6.9790545,1.4557747,4,Home Furnishing,3
954,-0.4695262,12.99679,0.8337316,4,Home Furnishing,3
955,-7.3490644,-4.3389273,-3.6365278,3,Home Decor & Festive Needs,5
956,1.6780891,-7.362272,-4.529871,5,Kitchen & Dining,1
957,-8.506002,-2.5238338,-1.8242989,3,Home Decor & Festive Needs,5
958,7.8345375,-9.178555,3.191648,4,Home Furnishing,1
959,7.3202295,-10.000057,2.9478168,4,Home Furnishing,1
960,10.89924,-6.9581623,-0.6784385,4,Home Furnishing,1
961,7.382414,-10.233885,4.290905,4,Home Furnishing,1
962,7.2049403,-10.32364,4.68178,4,Home Furnishing,1
963,7.440135,-9.249821,3.2024448,4,Home Furnishing,1
964,7.2683353,-10.485083,4.640012,4,Home Furnishing,1
965,4.9607553,-0.5252718,-6.7391768,1,Beauty and Personal Care,0
966,2.3329706,-6.775791,-3.4208736,5,Kitchen & Dining,1
967,7.925597,-3.1830895,0.68255156,0,Baby Care,1
968,9.912974,-1.7684937,2.2361088,0,Baby Care,1
969,9.097326,-12.017653,-2.1341927,4,Home Furnishing,1
970,9.3157,-2.485378,1.1943032,0,Baby Care,1
971,9.912974,-1.7684937,2.2361088,0,Baby Care,1
972,18.62285,-2.732803,1.7589967,0,Baby Care,4
973,1.3496882,-11.738182,1.5831187,3,Home Decor & Festive Needs,1
974,2.40414,-11.841385,1.2779098,3,Home Decor & Festive Needs,1
975,18.224966,-0.45154145,0.9235562,0,Baby Care,4
976,2.5923793,-1.3548712,-4.569996,1,Beauty and Personal Care,1
977,19.808868,2.8633249,0.5947502,0,Baby Care,4
978,2.3833437,-7.465823,-2.5043204,5,Kitchen & Dining,1
979,21.096664,-0.9001952,0.90520793,0,Baby Care,4
980,20.94873,0.6191673,1.715683,0,Baby Care,4
981,14.863387,1.4617058,-4.751947,0,Baby Care,4
982,19.78471,-1.2160622,0.3158731,0,Baby Care,4
983,21.121214,-0.19860241,0.5817677,0,Baby Care,4
984,-12.564935,-1.7960125,-2.1158566,3,Home Decor & Festive Needs,5
985,-1.4691359,-1.1575482,-7.6384625,1,Beauty and Personal Care,0
986,-11.255858,-1.6761321,-5.321701,3,Home Decor & Festive Needs,5
987,-12.418784,-2.6660542,-1.8589771,3,Home Decor & Festive Needs,5
988,-2.1341107,-0.00068669545,-7.6447287,1,Beauty and Personal Care,0
989,-13.286496,-0.7833521,-2.4096086,3,Home Decor & Festive Needs,5
990,19.862246,-1.7918972,-3.8836472,0,Baby Care,4
991,0.043511126,-1.8490623,-3.765729,5,Kitchen & Dining,1
992,0.04961422,-1.8247834,-3.7410674,5,Kitchen & Dining,1
993,2.7316027,10.505745,3.8309996,4,Home Furnishing,3
994,3.0904374,-10.748193,-10.395403,5,Kitchen & Dining,6
995,6.5250754,0.22298758,-2.1574383,0,Baby Care,1
996,6.536165,0.2815166,-2.2251332,0,Baby Care,1
997,1.7897534,-11.355864,-0.97232133,3,Home Decor & Festive Needs,1
998,2.5247052,-10.781712,-9.25801,5,Kitchen & Dining,6
999,9.175367,-12.725183,-1.4715868,4,Home Furnishing,1
1000,0.44638395,-6.609878,-2.2542965,5,Kitchen & Dining,1
1001,18.540218,2.3867564,-1.256913,0,Baby Care,4
1002,-3.584151,-8.042772,4.1184936,2,Computers,1
